1,953250
2,499292
3,359041
4,295917
5,394666
6,344792
7,327791
8,298875
9,328417
10,335042
11,317041
12,317541
13,316500
14,297625
15,315416
16,379542
1,1923375
2,978042
3,698417
4,857583
5,706333
6,620041
7,670459
8,611084
9,598584
10,730542
11,573250
12,527250
13,508500
14,497834
15,499250
16,485000
1,2652750
2,1441416
3,996500
4,747042
5,1024291
6,866500
7,822583
8,686208
9,784583
10,797708
11,696625
12,708166
13,714542
14,735000
15,722000
16,674375
1,5057417
2,1932375
3,1301792
4,988875
5,1526500
6,1169417
7,983459
8,927583
9,1059458
10,988000
11,925000
12,883750
13,929583
14,885958
15,882083
16,877625
1,4479375
2,2331625
3,1631958
4,1254833
5,1638583
6,1398250
7,1214125
8,1091750
9,1217875
10,1202000
11,1123416
12,1068875
13,1080541
14,1097209
15,1059959
16,1046208
1,6483417
2,3076541
3,2378125
4,1739041
5,2040458
6,2025125
7,1984959
8,1850958
9,1684708
10,1735875
11,1673291
12,1584916
13,1593166
14,1667208
15,1602542
16,1778125
