1,1184083
2,629750
3,428792
4,337042
5,469333
6,394209
7,358917
8,348917
9,440084
10,364208
11,379750
12,347083
13,362709
14,382959
15,367416
16,347416
1,2329250
2,1221375
3,852708
4,646209
5,858083
6,728917
7,658750
8,597417
9,730667
10,672042
11,684584
12,638250
13,661459
14,635750
15,603917
16,589833
1,3633250
2,1903667
3,1270750
4,1560834
5,1225500
6,1086250
7,948458
8,848125
9,1037667
10,922667
11,987167
12,832292
13,939458
14,889417
15,862000
16,817708
1,4622541
2,2439875
3,1694458
4,1270000
5,1641458
6,1408750
7,1259875
8,1107792
9,1367875
10,1254500
11,1232292
12,1057625
13,1237750
14,1158416
15,1112708
16,1037791
1,5775958
2,3057125
3,2114875
4,1593667
5,2064375
6,1784208
7,1585042
8,1418709
9,1681625
10,1547042
11,1450833
12,1297875
13,1523500
14,1465917
15,1489916
16,1287084
