Array Size: 1000000
BuiltIn
1,1192375
2,619541
3,436250
4,331416
5,452417
6,396125
7,379959
8,408000
9,414542
10,405667
11,356041
12,373917
13,365583
14,367250
15,421542
16,421375
Array Size: 2000000
BuiltIn
1,2341917
2,1259000
3,902541
4,1058042
5,870667
6,767000
7,900000
8,808625
9,832042
10,856333
11,735291
12,739375
13,842166
14,645917
15,668083
16,707917
Array Size: 3000000
BuiltIn
1,3485166
2,1872750
3,1282292
4,970084
5,1272833
6,1081916
7,959625
8,885333
9,967209
10,938417
11,982125
12,829542
13,881292
14,919708
15,945250
16,1020750
Array Size: 4000000
BuiltIn
1,4707167
2,2481166
3,1713709
4,1278792
5,1666917
6,1473500
7,1272916
8,1124333
9,1371708
10,1246292
11,1226500
12,1353625
13,1407541
14,1299084
15,1109917
16,1210917
Array Size: 5000000
BuiltIn
1,5800584
2,3049667
3,2128333
4,1596417
5,2070458
6,1773500
7,1573166
8,1430333
9,1585791
10,1680292
11,1584750
12,1392208
13,1529875
14,1436458
15,1351959
16,1522666
Array Size: 6000000
BuiltIn
1,6896958
2,3641792
3,2529417
4,1911875
5,2460208
6,2125750
7,1918666
8,1717334
9,1848792
10,1884083
11,1715792
12,1824750
13,1852208
14,1706958
15,1675750
16,1839708
