Array Size: 1000000
Std
1,1130541
2,605416
3,393084
4,527625
5,414000
6,394542
7,456583
8,484084
9,428625
10,447000
11,436167
12,462500
13,419000
14,394125
15,418709
16,438333
Array Size: 2000000
Std
1,2106000
2,999666
3,1145458
4,997125
5,955916
6,920292
7,1063167
8,839875
9,976750
10,1098625
11,671708
12,681250
13,958292
14,866083
15,787083
16,811542
Array Size: 3000000
Std
1,3260917
2,1470709
3,1019708
4,1278042
5,1070834
6,912250
7,1010000
8,967542
9,970417
10,901958
11,966458
12,860750
13,866125
14,885625
15,817375
16,873125
Array Size: 4000000
Std
1,4110459
2,1961833
3,1314541
4,1663792
5,1370667
6,1179792
7,1263708
8,1213250
9,1094917
10,1128583
11,1159666
12,1164375
13,1110417
14,1148459
15,1075708
16,1098000
Array Size: 5000000
Std
1,5498208
2,2508125
3,2750166
4,2401000
5,2190792
6,1966125
7,2106708
8,1949167
9,1705958
10,1792292
11,2072541
12,1896417
13,1753375
14,2355959
15,1731792
16,1388416
Array Size: 6000000
Std
1,6738125
2,2793333
3,1949917
4,1518250
5,1939375
6,1693667
7,1493542
8,1325083
9,1472750
10,1364916
11,1472500
12,1356000
13,1325708
14,1296750
15,1270875
16,1332334
