Array Size: 1000000
Omp1
1,2120250
2,1288958
3,964042
4,745709
5,984750
6,814708
7,819917
8,785875
9,886666
10,876500
11,720500
12,689208
13,878125
14,813250
15,775000
16,764250
Array Size: 2000000
Omp1
1,4026708
2,2431375
3,1881042
4,1439209
5,1816417
6,1824792
7,1623167
8,1503709
9,1762541
10,1563250
11,1543542
12,1502500
13,1491083
14,1462500
15,1544000
16,1461875
Array Size: 3000000
Omp1
1,6013750
2,3658709
3,2814750
4,2159709
5,2947042
6,2352916
7,2511625
8,2222958
9,2591791
10,2463584
11,2112500
12,2023708
13,2361916
14,2100000
15,2191583
16,2340709
Array Size: 4000000
Omp1
1,8180083
2,5105625
3,3726167
4,2872375
5,3710292
6,3188750
7,3220416
8,2959375
9,3466958
10,3085708
11,2835667
12,2779167
13,2890250
14,2819000
15,2995333
16,3051750
Array Size: 5000000
Omp1
1,10193334
2,6176708
3,4642583
4,3587542
5,4647750
6,3739333
7,3993625
8,3726708
9,4099416
10,4060042
11,3816625
12,3768083
13,3965125
14,3528542
15,3756084
16,3799584
Array Size: 6000000
Omp1
1,11959125
2,7269625
3,5556333
4,4266291
5,5536792
6,4665417
7,4870875
8,4359875
9,5115833
10,4328917
11,4610334
12,4357375
13,4765708
14,4120000
15,4458792
16,4525917
