1,2181750
2,1276792
3,941625
4,1203833
5,1084042
6,956709
7,1144167
8,1023083
9,952542
10,1062125
11,1053917
12,964625
13,1055458
14,1017584
15,987167
16,1028375
1,4277334
2,2609209
3,1806750
4,2375167
5,2153000
6,1895250
7,2175667
8,2027541
9,1934000
10,2070375
11,1918708
12,1905292
13,2007292
14,2005709
15,1933750
16,2023334
1,6452625
2,3809250
3,2694917
4,3546542
5,3164541
6,2860833
7,3228959
8,3081334
9,3301917
10,3089708
11,3049750
12,2789625
13,3054375
14,2966500
15,3119959
16,3264375
1,8456083
2,5077333
3,3627708
4,4716833
5,4314667
6,3896291
7,4392709
8,5193583
9,3394791
10,3130333
11,2944167
12,2735333
13,3193208
14,3149584
15,3074458
16,3021625
1,9942125
2,6078875
3,4485416
4,4728167
5,5366792
6,4723333
7,4159708
8,3748000
9,3983958
10,4072667
11,3797084
12,3490417
13,3976959
14,3926459
15,3868459
16,3725250
